subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
57,283448436,54,763856.310609735,763924.583598683,763860.423187156,763926.094550472,OK,OK,0,0,f,f,4.07704390888102,1.44875395752024,72,89,5,Not Studied,59,144,140,Binocular,nogo,blanket,marker,f,f,0,0,764038.125031053,764041.237011418,764043.128193813,764047.040654659,Return,OK,1,0,0,,,0,0,NaN,NaN,key,3.09348011983093,1,NO RESPONSE,NaN,1
57,283448436,55,763863.485104269,763929.866904482,763867.397586848,763933.779363216,OK,OK,7,8,NO RESPONSE,NO RESPONSE,NaN,NaN,86,29,5,Binocular,51,159,162,CFS,go,steering wheel,crowbar,z,z,1,1,764049.121935001,764062.910626518,764065.35215877,764067.363440025,Return,Return,7,1,1,,,0,0,NaN,NaN,claw,13.7595441978192,1,Return,1.90508912201039,1
57,283448436,56,763869.999220327,763936.421008721,763872.110565605,763937.431701676,OK,OK,3,6,j,j,2.02777059213258,0.914772396325134,170,172,5,CFS,52,20,71,Binocular,go,notebook,briefcase,j,j,0,1,764069.254622722,764073.367204066,764075.218358739,764077.229684669,Return,Return,1,0.1,0.1,2@,3#,3.60911388273474,4.07196869685704,3.49289347245332,3.49289347245332,book,4.09030981350224,1,Return,1.93447248637676,1
57,283448436,57,763875.732846373,763940.613664826,763876.743453301,763941.624342689,OK,OK,3,0,j,j,0.901998503366485,0.985851492732763,185,183,5,CFS,49,71,20,Not Studied,go,lock,truck,j,j,0,1,764080.021414887,764101.785104359,764104.536806252,764106.448031938,Return,Return,10,0.1,0.1,2@,2@,5.045972146754,4.40910219524217,3.49289347245332,3.49289347245332,toy train,21.7461303879973,1,Return,1.8385941865854,1
57,283448436,58,763880.886074528,763945.836932213,763882.196919705,763946.747536696,OK,OK,10,10,j,j,1.300435958663,0.898318074410781,71,20,5,CFS,57,151,97,Not Studied,go,truck,key,j,j,0,1,764109.009656712,764111.561262556,764113.932753464,764115.143473041,Return,Return,3,0.1,0.1,3#,3#,4.98789901558408,4.50653393616987,3.49289347245332,3.49289347245332,key,2.52538946655113,1,Return,1.10614474385511,1
57,283448436,59,763886.249447543,763949.6193456,763890.161969061,763953.531827878,OK,OK,7,3,NO RESPONSE,NO RESPONSE,NaN,NaN,151,97,5,Binocular,58,72,89,Binocular,go,key,blanket,z,z,1,1,764116.694466437,764122.938414316,764124.57942262,764126.890907412,Return,Return,0,1,1,,,0,0,NaN,NaN,stone,6.21600794943515,1,Return,2.28294720477425,1
57,283448436,60,763892.263224778,763955.432971247,763894.174453784,763958.54494467,OK,OK,0,0,f,f,1.88267119508237,3.05375847173855,159,162,5,Not Studied,55,181,184,CFS,go,crowbar,clipboard,f,f,0,0,764128.541967848,764134.135470455,764135.866227438,764137.77775799,Return,Return,1,0,0,,,0,0,NaN,NaN,briefcase,5.56793369259685,1,Return,1.83559532975778,1
57,283448436,61,764195.013788403,764272.902801116,764196.224496812,764274.313703976,OK,OK,1,1,j,j,1.1171223410638,1.32822466164362,129,166,6,CFS,66,73,68,CFS,nogo,knot,toothbrush,j,j,0,1,764339.684801878,764343.637010633,764346.569190586,764350.481614909,Return,OK,9,0.1,0.1,3#,3#,4.23849732539959,2.9316279040821,3.49289347245332,3.49289347245332,toothbrush,3.93466597085353,1,NO RESPONSE,NaN,1
57,283448436,62,764201.067562269,764277.605761548,764204.379679734,764280.217374716,OK,OK,0,0,f,f,3.20695674431045,2.52894945838489,103,11,6,Not Studied,70,140,144,Not Studied,nogo,rug,hammer,f,f,0,0,764352.332773808,764354.544164393,764356.675531833,764360.587969437,Return,OK,4,0,0,,,0,0,NaN,NaN,hammer,2.19013356463984,1,NO RESPONSE,NaN,1
57,283448436,63,764207.041322045,764282.498819021,764211.153943535,764286.111038902,OK,OK,0,0,f,f,4.07285969599616,3.56358497263864,7,119,6,Not Studied,72,128,143,CFS,go,battery,pfd,f,f,0,0,764362.359069573,764367.112097784,764369.733793872,764370.844437656,Return,Return,5,0,0,,,0,0,NaN,NaN,lifejacket,4.7232210530201,1,Return,1.02840688708238,1
57,283448436,64,764214.285913462,764288.672663978,764215.796866459,764289.983494666,OK,OK,3,1,j,j,1.46802904619835,1.29350130958483,165,45,6,CFS,67,150,156,Binocular,go,mouse trap,eletric kettle,j,j,0,1,764373.055801981,764384.913272213,764387.334818525,764389.546194017,Return,Return,6,0.1,0.1,2@,2@,4.35007725511085,4.84552646289358,3.49289347245332,3.49289347245332,scale,11.8335850239964,1,Return,2.19436969514936,1
57,283448436,65,764220.699954029,764293.455715169,764225.412884188,764295.967318648,OK,OK,0,0,f,f,4.61352537281346,2.42225233314093,150,156,6,Not Studied,64,90,57,Not Studied,go,eletric kettle,speakers,f,f,0,0,764391.707224332,764394.669420625,764396.230421177,764398.341712726,Return,Return,0,0,0,,,0,0,NaN,NaN,speaker,2.94172196264844,1,Return,2.05841839662753,1
57,283448436,66,764228.444824202,764298.89914393,764232.357288067,764302.811619869,OK,OK,7,7,NO RESPONSE,NO RESPONSE,NaN,NaN,162,159,6,Binocular,68,129,166,Binocular,nogo,egg beater,knot,z,z,1,1,764399.962761955,764406.596920429,764408.808299846,764412.72079299,Return,OK,5,1,1,,,0,0,NaN,NaN,glove,6.6215515031945,1,NO RESPONSE,NaN,1
57,283448436,67,764234.83882178,764304.882885809,764238.351034085,764307.994888511,OK,OK,0,0,f,f,3.44196479918901,3.01845074247103,123,62,6,Not Studied,69,165,45,CFS,go,helmet,mouse trap,f,f,0,0,764414.561950769,764423.25740606,764425.348744872,764427.66019797,Return,Return,7,0,0,,,0,0,NaN,NaN,wood plank,8.67755934398156,1,Return,2.25066066905856,1
57,283448436,68,764240.772556249,764311.166885255,764244.684985099,764315.079314709,OK,OK,0,9,NO RESPONSE,NO RESPONSE,NaN,NaN,73,68,6,Binocular,61,162,159,Binocular,go,toothbrush,egg beater,z,z,1,1,764429.351233606,764438.236549893,764439.937944641,764441.648968028,Return,Return,1,1,1,,,0,0,NaN,NaN,electric mixer,8.8715417686617,1,Return,1.652712146868,1
57,283448436,69,764247.62687821,764317.801026222,764250.438665302,764319.111866267,OK,OK,7,8,j,j,2.70934541616589,1.29967741540167,13,16,6,CFS,71,123,62,Not Studied,go,binder,helmet,j,j,0,1,764443.330043596,764453.40639235,764455.647808631,764458.859830983,Return,Return,8,0.1,0.1,2@,2@,3.55654145461941,4.16645351767523,3.49289347245332,3.49289347245332,ball,10.0599499717355,1,Return,3.19000648672227,1
57,283448436,70,764254.961512305,764322.093723107,764258.873971039,764326.00619965,OK,OK,4,0,NO RESPONSE,NO RESPONSE,NaN,NaN,128,143,6,Binocular,63,103,11,Not Studied,go,pfd,rug,z,z,1,1,764460.430824506,764469.276408882,764471.848029946,764474.359552831,Return,Return,4,1,1,,,0,0,NaN,NaN,chain,8.83039509749506,1,Return,2.40496128948871,1
